"Occupation","Gender","TaxBracket","variable","value","unit"
"7112 Industrial Spraypainters","Male","e. $180,000 or more","Number of individuals",243,NA
"7113 Paper and Wood Processing Machine Operators","Female","All","Number of individuals",691,NA
"7113 Paper and Wood Processing Machine Operators","Male","All","Number of individuals",5489,NA
"7114 Photographic Developers and Printers","Female","All","Number of individuals",618,NA
"7114 Photographic Developers and Printers","Male","All","Number of individuals",864,NA
"7115 Plastics and Rubber Production Machine Operators","Female","a. $18,200 or less","Number of individuals",47,NA
"7115 Plastics and Rubber Production Machine Operators","Female","b. $18,201 to $37,000","Number of individuals",126,NA
"7115 Plastics and Rubber Production Machine Operators","Female","c. $37,001 to $80,000","Number of individuals",313,NA
"7115 Plastics and Rubber Production Machine Operators","Female","d. $80,001 to $180,000","Number of individuals",16,NA
"7115 Plastics and Rubber Production Machine Operators","Male","a. $18,200 or less","Number of individuals",264,NA
"7115 Plastics and Rubber Production Machine Operators","Male","b. $18,201 to $37,000","Number of individuals",663,NA
"7115 Plastics and Rubber Production Machine Operators","Male","c. $37,001 to $80,000","Number of individuals",3080,NA
"7115 Plastics and Rubber Production Machine Operators","Male","d. $80,001 to $180,000","Number of individuals",766,NA
"7115 Plastics and Rubber Production Machine Operators","Male","e. $180,000 or more","Number of individuals",31,NA
"7116 Sewing Machinists","Female","All","Number of individuals",5163,NA
"7116 Sewing Machinists","Male","All","Number of individuals",563,NA
"7117 Textile and Footwear Production Machine Operators","Female","All","Number of individuals",558,NA
"7117 Textile and Footwear Production Machine Operators","Male","All","Number of individuals",853,NA
"7119 Other Machine Operators","Female","All","Number of individuals",5712,NA
"7119 Other Machine Operators","Male","a. $18,200 or less","Number of individuals",1844,NA
"7119 Other Machine Operators","Male","b. $18,201 to $37,000","Number of individuals",3791,NA
"7119 Other Machine Operators","Male","c. $37,001 to $80,000","Number of individuals",16911,NA
"7119 Other Machine Operators","Male","d. $80,001 to $180,000","Number of individuals",8215,NA
"7119 Other Machine Operators","Male","e. $180,000 or more","Number of individuals",400,NA
"7121 Crane, Hoist and Lift Operators","Female","All","Number of individuals",181,NA
"7121 Crane, Hoist and Lift Operators","Male","a. $18,200 or less","Number of individuals",323,NA
"7121 Crane, Hoist and Lift Operators","Male","b. $18,201 to $37,000","Number of individuals",657,NA
"7121 Crane, Hoist and Lift Operators","Male","c. $37,001 to $80,000","Number of individuals",2837,NA
"7121 Crane, Hoist and Lift Operators","Male","d. $80,001 to $180,000","Number of individuals",5061,NA
"7121 Crane, Hoist and Lift Operators","Male","e. $180,000 or more","Number of individuals",701,NA
"7122 Drillers, Miners and Shot Firers","Female","All","Number of individuals",2437,NA
"7122 Drillers, Miners and Shot Firers","Male","a. $18,200 or less","Number of individuals",877,NA
"7122 Drillers, Miners and Shot Firers","Male","b. $18,201 to $37,000","Number of individuals",1697,NA
"7122 Drillers, Miners and Shot Firers","Male","c. $37,001 to $80,000","Number of individuals",7384,NA
"7122 Drillers, Miners and Shot Firers","Male","d. $80,001 to $180,000","Number of individuals",29583,NA
"7122 Drillers, Miners and Shot Firers","Male","e. $180,000 or more","Number of individuals",3404,NA
"7123 Engineering Production Systems Workers","Female","All","Number of individuals",101,NA
"7123 Engineering Production Systems Workers","Male","a. $18,200 or less","Number of individuals",69,NA
"7123 Engineering Production Systems Workers","Male","b. $18,201 to $37,000","Number of individuals",172,NA
"7123 Engineering Production Systems Workers","Male","c. $37,001 to $80,000","Number of individuals",1046,NA
"7123 Engineering Production Systems Workers","Male","d. $80,001 to $180,000","Number of individuals",718,NA
"7123 Engineering Production Systems Workers","Male","e. $180,000 or more","Number of individuals",30,NA
"7129 Other Stationary Plant Operators","Female","All","Number of individuals",1424,NA
"7129 Other Stationary Plant Operators","Male","a. $18,200 or less","Number of individuals",417,NA
"7129 Other Stationary Plant Operators","Male","b. $18,201 to $37,000","Number of individuals",967,NA
"7129 Other Stationary Plant Operators","Male","c. $37,001 to $80,000","Number of individuals",5813,NA
"7129 Other Stationary Plant Operators","Male","d. $80,001 to $180,000","Number of individuals",7300,NA
"7129 Other Stationary Plant Operators","Male","e. $180,000 or more","Number of individuals",293,NA
"7210 Mobile Plant Operators","Female","All","Number of individuals",26,NA
"7210 Mobile Plant Operators","Male","All","Number of individuals",330,NA
"7211 Agricultural, Forestry and Horticultural Plant Operators","Female","All","Number of individuals",1040,NA
"7211 Agricultural, Forestry and Horticultural Plant Operators","Male","a. $18,200 or less","Number of individuals",1692,NA
"7211 Agricultural, Forestry and Horticultural Plant Operators","Male","b. $18,201 to $37,000","Number of individuals",2467,NA
"7211 Agricultural, Forestry and Horticultural Plant Operators","Male","c. $37,001 to $80,000","Number of individuals",4685,NA
"7211 Agricultural, Forestry and Horticultural Plant Operators","Male","d. $80,001 to $180,000","Number of individuals",977,NA
"7211 Agricultural, Forestry and Horticultural Plant Operators","Male","e. $180,000 or more","Number of individuals",37,NA
"7212 Earthmoving Plant Operators","Female","a. $18,200 or less","Number of individuals",168,NA
"7212 Earthmoving Plant Operators","Female","b. $18,201 to $37,000","Number of individuals",192,NA
"7212 Earthmoving Plant Operators","Female","c. $37,001 to $80,000","Number of individuals",573,NA
"7212 Earthmoving Plant Operators","Female","d. $80,001 to $180,000","Number of individuals",874,NA
"7212 Earthmoving Plant Operators","Female","e. $180,000 or more","Number of individuals",21,NA
"7212 Earthmoving Plant Operators","Male","a. $18,200 or less","Number of individuals",1535,NA
"7212 Earthmoving Plant Operators","Male","b. $18,201 to $37,000","Number of individuals",3815,NA
"7212 Earthmoving Plant Operators","Male","c. $37,001 to $80,000","Number of individuals",19985,NA
"7212 Earthmoving Plant Operators","Male","d. $80,001 to $180,000","Number of individuals",15244,NA
"7212 Earthmoving Plant Operators","Male","e. $180,000 or more","Number of individuals",673,NA
"7213 Forklift Drivers","Female","All","Number of individuals",1101,NA
"7213 Forklift Drivers","Male","a. $18,200 or less","Number of individuals",1664,NA
"7213 Forklift Drivers","Male","b. $18,201 to $37,000","Number of individuals",5026,NA
"7213 Forklift Drivers","Male","c. $37,001 to $80,000","Number of individuals",21260,NA
"7213 Forklift Drivers","Male","d. $80,001 to $180,000","Number of individuals",3248,NA
"7213 Forklift Drivers","Male","e. $180,000 or more","Number of individuals",82,NA
"7219 Other Mobile Plant Operators","Female","All","Number of individuals",1201,NA
"7219 Other Mobile Plant Operators","Male","a. $18,200 or less","Number of individuals",382,NA
"7219 Other Mobile Plant Operators","Male","b. $18,201 to $37,000","Number of individuals",1088,NA
"7219 Other Mobile Plant Operators","Male","c. $37,001 to $80,000","Number of individuals",5576,NA
"7219 Other Mobile Plant Operators","Male","d. $80,001 to $180,000","Number of individuals",2114,NA
"7219 Other Mobile Plant Operators","Male","e. $180,000 or more","Number of individuals",71,NA
"7300 Road and rail drivers - type not specified","Female","All","Number of individuals",84,NA
"7300 Road and rail drivers - type not specified","Male","All","Number of individuals",619,NA
"7311 Automobile Drivers","Female","All","Number of individuals",427,NA
"7311 Automobile Drivers","Male","All","Number of individuals",3270,NA
"7312 Bus and Coach Drivers","Female","a. $18,200 or less","Number of individuals",626,NA
"7312 Bus and Coach Drivers","Female","b. $18,201 to $37,000","Number of individuals",1567,NA
"7312 Bus and Coach Drivers","Female","c. $37,001 to $80,000","Number of individuals",2166,NA
"7312 Bus and Coach Drivers","Female","d. $80,001 to $180,000","Number of individuals",327,NA
"7312 Bus and Coach Drivers","Female","e. $180,000 or more","Number of individuals",14,NA
"7312 Bus and Coach Drivers","Male","a. $18,200 or less","Number of individuals",2319,NA
"7312 Bus and Coach Drivers","Male","b. $18,201 to $37,000","Number of individuals",7584,NA
"7312 Bus and Coach Drivers","Male","c. $37,001 to $80,000","Number of individuals",19732,NA
"7312 Bus and Coach Drivers","Male","d. $80,001 to $180,000","Number of individuals",4031,NA
"7312 Bus and Coach Drivers","Male","e. $180,000 or more","Number of individuals",95,NA
"7313 Train and Tram Drivers","Female","All","Number of individuals",983,NA
"7313 Train and Tram Drivers","Male","a. $18,200 or less","Number of individuals",87,NA
"7313 Train and Tram Drivers","Male","b. $18,201 to $37,000","Number of individuals",187,NA
"7313 Train and Tram Drivers","Male","c. $37,001 to $80,000","Number of individuals",1519,NA
"7313 Train and Tram Drivers","Male","d. $80,001 to $180,000","Number of individuals",8732,NA
"7313 Train and Tram Drivers","Male","e. $180,000 or more","Number of individuals",571,NA
"7321 Delivery Drivers","Female","All","Number of individuals",4341,NA
"7321 Delivery Drivers","Male","a. $18,200 or less","Number of individuals",7234,NA
"7321 Delivery Drivers","Male","b. $18,201 to $37,000","Number of individuals",11414,NA
"7321 Delivery Drivers","Male","c. $37,001 to $80,000","Number of individuals",16916,NA
"7321 Delivery Drivers","Male","d. $80,001 to $180,000","Number of individuals",1389,NA
"7321 Delivery Drivers","Male","e. $180,000 or more","Number of individuals",32,NA
"7331 Truck Drivers","Female","All","Number of individuals",4414,NA
"7331 Truck Drivers","Male","a. $18,200 or less","Number of individuals",7633,NA
"7331 Truck Drivers","Male","b. $18,201 to $37,000","Number of individuals",20197,NA
"7331 Truck Drivers","Male","c. $37,001 to $80,000","Number of individuals",86193,NA
"7331 Truck Drivers","Male","d. $80,001 to $180,000","Number of individuals",36367,NA
"7331 Truck Drivers","Male","e. $180,000 or more","Number of individuals",546,NA
"7411 Storepersons","Female","a. $18,200 or less","Number of individuals",4261,NA
"7411 Storepersons","Female","b. $18,201 to $37,000","Number of individuals",7566,NA
"7411 Storepersons","Female","c. $37,001 to $80,000","Number of individuals",11547,NA
"7411 Storepersons","Female","d. $80,001 to $180,000","Number of individuals",673,NA
"7411 Storepersons","Female","e. $180,000 or more","Number of individuals",46,NA
"7411 Storepersons","Male","a. $18,200 or less","Number of individuals",12918,NA
"7411 Storepersons","Male","b. $18,201 to $37,000","Number of individuals",24038,NA
"7411 Storepersons","Male","c. $37,001 to $80,000","Number of individuals",69186,NA
"7411 Storepersons","Male","d. $80,001 to $180,000","Number of individuals",7211,NA
"7411 Storepersons","Male","e. $180,000 or more","Number of individuals",318,NA
"8110 Cleaners and Laundry Workers - type not specified","Female","All","Number of individuals",1585,NA
"8110 Cleaners and Laundry Workers - type not specified","Male","All","Number of individuals",1090,NA
"8111 Car Detailers","Female","All","Number of individuals",1489,NA
"8111 Car Detailers","Male","All","Number of individuals",11835,NA
"8112 Commercial Cleaners","Female","a. $18,200 or less","Number of individuals",15464,NA
"8112 Commercial Cleaners","Female","b. $18,201 to $37,000","Number of individuals",30343,NA
"8112 Commercial Cleaners","Female","c. $37,001 to $80,000","Number of individuals",18900,NA
"8112 Commercial Cleaners","Female","d. $80,001 to $180,000","Number of individuals",809,NA
"8112 Commercial Cleaners","Female","e. $180,000 or more","Number of individuals",96,NA
"8112 Commercial Cleaners","Male","a. $18,200 or less","Number of individuals",8116,NA
"8112 Commercial Cleaners","Male","b. $18,201 to $37,000","Number of individuals",15250,NA
"8112 Commercial Cleaners","Male","c. $37,001 to $80,000","Number of individuals",15362,NA
"8112 Commercial Cleaners","Male","d. $80,001 to $180,000","Number of individuals",883,NA
"8112 Commercial Cleaners","Male","e. $180,000 or more","Number of individuals",39,NA
"8113 Domestic Cleaners","Female","a. $18,200 or less","Number of individuals",3356,NA
"8113 Domestic Cleaners","Female","b. $18,201 to $37,000","Number of individuals",4724,NA
"8113 Domestic Cleaners","Female","c. $37,001 to $80,000","Number of individuals",1968,NA
"8113 Domestic Cleaners","Female","d. $80,001 to $180,000","Number of individuals",72,NA
"8113 Domestic Cleaners","Female","e. $180,000 or more","Number of individuals",6,NA
"8113 Domestic Cleaners","Male","All","Number of individuals",1885,NA
"8114 Housekeepers","Female","a. $18,200 or less","Number of individuals",7356,NA
"8114 Housekeepers","Female","b. $18,201 to $37,000","Number of individuals",11987,NA
"8114 Housekeepers","Female","c. $37,001 to $80,000","Number of individuals",6023,NA
"8114 Housekeepers","Female","d. $80,001 to $180,000","Number of individuals",172,NA
"8114 Housekeepers","Female","e. $180,000 or more","Number of individuals",24,NA
"8114 Housekeepers","Male","All","Number of individuals",5333,NA
"8115 Laundry Workers","Female","All","Number of individuals",8076,NA
"8115 Laundry Workers","Male","All","Number of individuals",3364,NA
"8116 Other Cleaners","Female","All","Number of individuals",20071,NA
"8116 Other Cleaners","Male","a. $18,200 or less","Number of individuals",3180,NA
"8116 Other Cleaners","Male","b. $18,201 to $37,000","Number of individuals",5256,NA
"8116 Other Cleaners","Male","c. $37,001 to $80,000","Number of individuals",6563,NA
"8116 Other Cleaners","Male","d. $80,001 to $180,000","Number of individuals",545,NA
"8116 Other Cleaners","Male","e. $180,000 or more","Number of individuals",38,NA
"8200 Labourer - type not specified","Female","a. $18,200 or less","Number of individuals",125,NA
"8200 Labourer - type not specified","Female","b. $18,201 to $37,000","Number of individuals",92,NA
"8200 Labourer - type not specified","Female","c. $37,001 to $80,000","Number of individuals",30,NA
"8200 Labourer - type not specified","Male","All","Number of individuals",2772,NA
"8210 Construction and Mining Labourers. Construction worker - type not specified","Female","All","Number of individuals",33,NA
"8210 Construction and Mining Labourers. Construction worker - type not specified","Male","All","Number of individuals",550,NA
"8211 Building and Plumbing Labourers","Female","All","Number of individuals",1332,NA
"8211 Building and Plumbing Labourers","Male","a. $18,200 or less","Number of individuals",11069,NA
"8211 Building and Plumbing Labourers","Male","b. $18,201 to $37,000","Number of individuals",16190,NA
"8211 Building and Plumbing Labourers","Male","c. $37,001 to $80,000","Number of individuals",28410,NA
"8211 Building and Plumbing Labourers","Male","d. $80,001 to $180,000","Number of individuals",10347,NA
"8211 Building and Plumbing Labourers","Male","e. $180,000 or more","Number of individuals",571,NA
"8212 Concreters","Female","All","Number of individuals",94,NA
"8212 Concreters","Male","a. $18,200 or less","Number of individuals",1675,NA
"8212 Concreters","Male","b. $18,201 to $37,000","Number of individuals",3729,NA
"8212 Concreters","Male","c. $37,001 to $80,000","Number of individuals",9932,NA
"8212 Concreters","Male","d. $80,001 to $180,000","Number of individuals",4839,NA
"8212 Concreters","Male","e. $180,000 or more","Number of individuals",274,NA
"8213 Fencers","Female","All","Number of individuals",68,NA
"8213 Fencers","Male","All","Number of individuals",3847,NA
"8214 Insulation and Home Improvement Installers","Female","All","Number of individuals",150,NA
"8214 Insulation and Home Improvement Installers","Male","a. $18,200 or less","Number of individuals",669,NA
"8214 Insulation and Home Improvement Installers","Male","b. $18,201 to $37,000","Number of individuals",1367,NA
"8214 Insulation and Home Improvement Installers","Male","c. $37,001 to $80,000","Number of individuals",3094,NA
"8214 Insulation and Home Improvement Installers","Male","d. $80,001 to $180,000","Number of individuals",911,NA
"8214 Insulation and Home Improvement Installers","Male","e. $180,000 or more","Number of individuals",275,NA
"8215 Paving and Surfacing Labourers","Female","a. $18,200 or less","Number of individuals",17,NA
"8215 Paving and Surfacing Labourers","Female","b. $18,201 to $37,000","Number of individuals",44,NA
"8215 Paving and Surfacing Labourers","Female","c. $37,001 to $80,000","Number of individuals",120,NA
"8215 Paving and Surfacing Labourers","Female","d. $80,001 to $180,000","Number of individuals",16,NA
"8215 Paving and Surfacing Labourers","Male","a. $18,200 or less","Number of individuals",653,NA
"8215 Paving and Surfacing Labourers","Male","b. $18,201 to $37,000","Number of individuals",1505,NA
"8215 Paving and Surfacing Labourers","Male","c. $37,001 to $80,000","Number of individuals",7716,NA
"8215 Paving and Surfacing Labourers","Male","d. $80,001 to $180,000","Number of individuals",2487,NA
"8215 Paving and Surfacing Labourers","Male","e. $180,000 or more","Number of individuals",44,NA
"8216 Railway Track Workers","Female","All","Number of individuals",128,NA
"8216 Railway Track Workers","Male","a. $18,200 or less","Number of individuals",171,NA
"8216 Railway Track Workers","Male","b. $18,201 to $37,000","Number of individuals",363,NA
"8216 Railway Track Workers","Male","c. $37,001 to $80,000","Number of individuals",1688,NA
"8216 Railway Track Workers","Male","d. $80,001 to $180,000","Number of individuals",2336,NA
"8216 Railway Track Workers","Male","e. $180,000 or more","Number of individuals",79,NA
"8217 Structural Steel Construction Workers","Female","All","Number of individuals",207,NA
"8217 Structural Steel Construction Workers","Male","a. $18,200 or less","Number of individuals",2044,NA
"8217 Structural Steel Construction Workers","Male","b. $18,201 to $37,000","Number of individuals",4260,NA
"8217 Structural Steel Construction Workers","Male","c. $37,001 to $80,000","Number of individuals",11785,NA
"8217 Structural Steel Construction Workers","Male","d. $80,001 to $180,000","Number of individuals",13095,NA
"8217 Structural Steel Construction Workers","Male","e. $180,000 or more","Number of individuals",2967,NA
"8219 Other Construction and Mining Labourers","Female","All","Number of individuals",1037,NA
"8219 Other Construction and Mining Labourers","Male","a. $18,200 or less","Number of individuals",918,NA
"8219 Other Construction and Mining Labourers","Male","b. $18,201 to $37,000","Number of individuals",1567,NA
"8219 Other Construction and Mining Labourers","Male","c. $37,001 to $80,000","Number of individuals",4717,NA
"8219 Other Construction and Mining Labourers","Male","d. $80,001 to $180,000","Number of individuals",6520,NA
"8219 Other Construction and Mining Labourers","Male","e. $180,000 or more","Number of individuals",866,NA
"8300 Factory Process Workers - type not specified","Female","a. $18,200 or less","Number of individuals",637,NA
"8300 Factory Process Workers - type not specified","Female","b. $18,201 to $37,000","Number of individuals",582,NA
"8300 Factory Process Workers - type not specified","Female","c. $37,001 to $80,000","Number of individuals",358,NA
"8300 Factory Process Workers - type not specified","Female","d. $80,001 to $180,000","Number of individuals",7,NA
"8300 Factory Process Workers - type not specified","Male","a. $18,200 or less","Number of individuals",1175,NA
"8300 Factory Process Workers - type not specified","Male","b. $18,201 to $37,000","Number of individuals",1121,NA
"8300 Factory Process Workers - type not specified","Male","c. $37,001 to $80,000","Number of individuals",985,NA
"8300 Factory Process Workers - type not specified","Male","d. $80,001 to $180,000","Number of individuals",43,NA
"8310 Food Process Workers - type not specified","Female","a. $18,200 or less","Number of individuals",27,NA
"8310 Food Process Workers - type not specified","Female","b. $18,201 to $37,000","Number of individuals",28,NA
"8310 Food Process Workers - type not specified","Female","c. $37,001 to $80,000","Number of individuals",20,NA
"8310 Food Process Workers - type not specified","Male","All","Number of individuals",269,NA
"8311 Food and Drink Factory Workers","Female","a. $18,200 or less","Number of individuals",2511,NA
"8311 Food and Drink Factory Workers","Female","b. $18,201 to $37,000","Number of individuals",4571,NA
"8311 Food and Drink Factory Workers","Female","c. $37,001 to $80,000","Number of individuals",6686,NA
"8311 Food and Drink Factory Workers","Female","d. $80,001 to $180,000","Number of individuals",691,NA
"8311 Food and Drink Factory Workers","Female","e. $180,000 or more","Number of individuals",17,NA
"8311 Food and Drink Factory Workers","Male","a. $18,200 or less","Number of individuals",2919,NA
"8311 Food and Drink Factory Workers","Male","b. $18,201 to $37,000","Number of individuals",4934,NA
"8311 Food and Drink Factory Workers","Male","c. $37,001 to $80,000","Number of individuals",13714,NA
"8311 Food and Drink Factory Workers","Male","d. $80,001 to $180,000","Number of individuals",4304,NA
"8311 Food and Drink Factory Workers","Male","e. $180,000 or more","Number of individuals",65,NA
"8312 Meat Boners and Slicers, and Slaughterers","Female","a. $18,200 or less","Number of individuals",342,NA
"8312 Meat Boners and Slicers, and Slaughterers","Female","b. $18,201 to $37,000","Number of individuals",628,NA
"8312 Meat Boners and Slicers, and Slaughterers","Female","c. $37,001 to $80,000","Number of individuals",1129,NA
"8312 Meat Boners and Slicers, and Slaughterers","Female","d. $80,001 to $180,000","Number of individuals",18,NA
"8312 Meat Boners and Slicers, and Slaughterers","Male","All","Number of individuals",10183,NA
"8313 Meat, Poultry and Seafood Process Workers","Female","All","Number of individuals",9348,NA
"8313 Meat, Poultry and Seafood Process Workers","Male","a. $18,200 or less","Number of individuals",2953,NA
"8313 Meat, Poultry and Seafood Process Workers","Male","b. $18,201 to $37,000","Number of individuals",5179,NA
"8313 Meat, Poultry and Seafood Process Workers","Male","c. $37,001 to $80,000","Number of individuals",12328,NA
"8313 Meat, Poultry and Seafood Process Workers","Male","d. $80,001 to $180,000","Number of individuals",762,NA
"8313 Meat, Poultry and Seafood Process Workers","Male","e. $180,000 or more","Number of individuals",17,NA
"8321 Packers","Female","All","Number of individuals",28467,NA
"8321 Packers","Male","a. $18,200 or less","Number of individuals",5549,NA
"8321 Packers","Male","b. $18,201 to $37,000","Number of individuals",6157,NA
"8321 Packers","Male","c. $37,001 to $80,000","Number of individuals",6705,NA
"8321 Packers","Male","d. $80,001 to $180,000","Number of individuals",404,NA
"8321 Packers","Male","e. $180,000 or more","Number of individuals",20,NA
"8322 Product Assemblers","Female","a. $18,200 or less","Number of individuals",2059,NA
"8322 Product Assemblers","Female","b. $18,201 to $37,000","Number of individuals",3643,NA
"8322 Product Assemblers","Female","c. $37,001 to $80,000","Number of individuals",5882,NA
"8322 Product Assemblers","Female","d. $80,001 to $180,000","Number of individuals",228,NA
"8322 Product Assemblers","Female","e. $180,000 or more","Number of individuals",13,NA
"8322 Product Assemblers","Male","a. $18,200 or less","Number of individuals",4029,NA
"8322 Product Assemblers","Male","b. $18,201 to $37,000","Number of individuals",5616,NA
"8322 Product Assemblers","Male","c. $37,001 to $80,000","Number of individuals",13087,NA
"8322 Product Assemblers","Male","d. $80,001 to $180,000","Number of individuals",1350,NA
"8322 Product Assemblers","Male","e. $180,000 or more","Number of individuals",31,NA
"8391 Metal Engineering Process Workers","Female","a. $18,200 or less","Number of individuals",57,NA
"8391 Metal Engineering Process Workers","Female","b. $18,201 to $37,000","Number of individuals",163,NA
"8391 Metal Engineering Process Workers","Female","c. $37,001 to $80,000","Number of individuals",298,NA
"8391 Metal Engineering Process Workers","Female","d. $80,001 to $180,000","Number of individuals",34,NA
"8391 Metal Engineering Process Workers","Male","a. $18,200 or less","Number of individuals",964,NA
"8391 Metal Engineering Process Workers","Male","b. $18,201 to $37,000","Number of individuals",1757,NA
"8391 Metal Engineering Process Workers","Male","c. $37,001 to $80,000","Number of individuals",5739,NA
"8391 Metal Engineering Process Workers","Male","d. $80,001 to $180,000","Number of individuals",1838,NA
"8391 Metal Engineering Process Workers","Male","e. $180,000 or more","Number of individuals",68,NA
"8392 Plastics and Rubber Factory Workers","Female","a. $18,200 or less","Number of individuals",99,NA
"8392 Plastics and Rubber Factory Workers","Female","b. $18,201 to $37,000","Number of individuals",233,NA
"8392 Plastics and Rubber Factory Workers","Female","c. $37,001 to $80,000","Number of individuals",490,NA
"8392 Plastics and Rubber Factory Workers","Female","d. $80,001 to $180,000","Number of individuals",20,NA
"8392 Plastics and Rubber Factory Workers","Male","All","Number of individuals",2572,NA
"8393 Product Quality Controllers","Female","All","Number of individuals",1271,NA
"8393 Product Quality Controllers","Male","All","Number of individuals",1220,NA
"8394 Timber and Wood Process Workers","Female","All","Number of individuals",1345,NA
"8394 Timber and Wood Process Workers","Male","a. $18,200 or less","Number of individuals",1028,NA
"8394 Timber and Wood Process Workers","Male","b. $18,201 to $37,000","Number of individuals",2123,NA
"8394 Timber and Wood Process Workers","Male","c. $37,001 to $80,000","Number of individuals",5999,NA
"8394 Timber and Wood Process Workers","Male","d. $80,001 to $180,000","Number of individuals",1084,NA
"8394 Timber and Wood Process Workers","Male","e. $180,000 or more","Number of individuals",31,NA
"8399 Other Factory Process Workers","Female","a. $18,200 or less","Number of individuals",3206,NA
"8399 Other Factory Process Workers","Female","b. $18,201 to $37,000","Number of individuals",5824,NA
"8399 Other Factory Process Workers","Female","c. $37,001 to $80,000","Number of individuals",7965,NA
"8399 Other Factory Process Workers","Female","d. $80,001 to $180,000","Number of individuals",408,NA
"8399 Other Factory Process Workers","Female","e. $180,000 or more","Number of individuals",25,NA
"8399 Other Factory Process Workers","Male","a. $18,200 or less","Number of individuals",5871,NA
"8399 Other Factory Process Workers","Male","b. $18,201 to $37,000","Number of individuals",9217,NA
"8399 Other Factory Process Workers","Male","c. $37,001 to $80,000","Number of individuals",19157,NA
"8399 Other Factory Process Workers","Male","d. $80,001 to $180,000","Number of individuals",4685,NA
"8399 Other Factory Process Workers","Male","e. $180,000 or more","Number of individuals",310,NA
"8410 Farm, Forestry and Garden Workers - type not specified","Female","a. $18,200 or less","Number of individuals",1236,NA
"8410 Farm, Forestry and Garden Workers - type not specified","Female","b. $18,201 to $37,000","Number of individuals",355,NA
"8410 Farm, Forestry and Garden Workers - type not specified","Female","c. $37,001 to $80,000","Number of individuals",65,NA
"8410 Farm, Forestry and Garden Workers - type not specified","Male","All","Number of individuals",2534,NA
"8411 Aquaculture Workers","Female","All","Number of individuals",744,NA
"8411 Aquaculture Workers","Male","All","Number of individuals",1890,NA
"8412 Crop Farm Workers","Female","a. $18,200 or less","Number of individuals",9778,NA
"8412 Crop Farm Workers","Female","b. $18,201 to $37,000","Number of individuals",6011,NA
"8412 Crop Farm Workers","Female","c. $37,001 to $80,000","Number of individuals",2194,NA
"8412 Crop Farm Workers","Female","d. $80,001 to $180,000","Number of individuals",117,NA
"8412 Crop Farm Workers","Female","e. $180,000 or more","Number of individuals",11,NA
"8412 Crop Farm Workers","Male","a. $18,200 or less","Number of individuals",11110,NA
"8412 Crop Farm Workers","Male","b. $18,201 to $37,000","Number of individuals",8365,NA
"8412 Crop Farm Workers","Male","c. $37,001 to $80,000","Number of individuals",6824,NA
"8412 Crop Farm Workers","Male","d. $80,001 to $180,000","Number of individuals",493,NA
"8412 Crop Farm Workers","Male","e. $180,000 or more","Number of individuals",28,NA
"8413 Forestry and Logging Workers","Female","All","Number of individuals",327,NA
"8413 Forestry and Logging Workers","Male","a. $18,200 or less","Number of individuals",680,NA
"8413 Forestry and Logging Workers","Male","b. $18,201 to $37,000","Number of individuals",1022,NA
"8413 Forestry and Logging Workers","Male","c. $37,001 to $80,000","Number of individuals",2512,NA
"8413 Forestry and Logging Workers","Male","d. $80,001 to $180,000","Number of individuals",570,NA
"8413 Forestry and Logging Workers","Male","e. $180,000 or more","Number of individuals",16,NA
"8414 Garden and Nursery Labourers","Female","All","Number of individuals",4576,NA
"8414 Garden and Nursery Labourers","Male","a. $18,200 or less","Number of individuals",2678,NA
"8414 Garden and Nursery Labourers","Male","b. $18,201 to $37,000","Number of individuals",3594,NA
"8414 Garden and Nursery Labourers","Male","c. $37,001 to $80,000","Number of individuals",5253,NA
"8414 Garden and Nursery Labourers","Male","d. $80,001 to $180,000","Number of individuals",238,NA
"8414 Garden and Nursery Labourers","Male","e. $180,000 or more","Number of individuals",22,NA
"8415 Livestock Farm Workers","Female","a. $18,200 or less","Number of individuals",3702,NA
"8415 Livestock Farm Workers","Female","b. $18,201 to $37,000","Number of individuals",4653,NA
"8415 Livestock Farm Workers","Female","c. $37,001 to $80,000","Number of individuals",2998,NA
"8415 Livestock Farm Workers","Female","d. $80,001 to $180,000","Number of individuals",168,NA
"8415 Livestock Farm Workers","Female","e. $180,000 or more","Number of individuals",33,NA
"8415 Livestock Farm Workers","Male","a. $18,200 or less","Number of individuals",3986,NA
"8415 Livestock Farm Workers","Male","b. $18,201 to $37,000","Number of individuals",6247,NA
"8415 Livestock Farm Workers","Male","c. $37,001 to $80,000","Number of individuals",8532,NA
"8415 Livestock Farm Workers","Male","d. $80,001 to $180,000","Number of individuals",669,NA
"8415 Livestock Farm Workers","Male","e. $180,000 or more","Number of individuals",78,NA
"8416 Mixed Crop and Livestock Farm Workers","Female","All","Number of individuals",704,NA
"8416 Mixed Crop and Livestock Farm Workers","Male","a. $18,200 or less","Number of individuals",637,NA
"8416 Mixed Crop and Livestock Farm Workers","Male","b. $18,201 to $37,000","Number of individuals",965,NA
"8416 Mixed Crop and Livestock Farm Workers","Male","c. $37,001 to $80,000","Number of individuals",1681,NA
"8416 Mixed Crop and Livestock Farm Workers","Male","d. $80,001 to $180,000","Number of individuals",159,NA
"8416 Mixed Crop and Livestock Farm Workers","Male","e. $180,000 or more","Number of individuals",27,NA
"8419 Other Farm, Forestry and Garden Workers","Female","a. $18,200 or less","Number of individuals",3005,NA
